Order Number;Order Line;Outlet;Part;Creation Date;Requested Date;Shipped Date;Requested Quantity;Shipped Quantity
Order_18;16;1;7UI86399152671N;06.01.2017 00:00;06.01.2017;15.01.2017;2;2
Order_19;1;1;7NJ80148957966H;12.01.2017 00:00;12.01.2017;12.01.2017;1;1
Order_20;1;1;4EX30371760759I;09.01.2017 00:00;09.01.2017;16.01.2017;7;7
Order_21;2;1;6FY82551363568B;09.01.2017 00:00;09.01.2017;13.01.2017;2;2
Order_22;2;1;5RQ37652507562Q;17.01.2017 00:00;17.01.2017;22.01.2017;11;11
Order_23;1;1;2GS55289964768T;08.01.2017 00:00;08.01.2017;08.01.2017;2;2
Order_24;1;1;10SO55529479938E;11.01.2017 00:00;11.01.2017;11.01.2017;1;1
Order_25;2;1;4ZT23274659474R;05.01.2017 00:00;05.01.2017;11.01.2017;7;7
Order_26;1;1;7UI86399152671N;14.01.2017 00:00;14.01.2017;14.01.2017;1;1
Order_27;1;1;3OB35915287851N;07.01.2017 00:00;07.01.2017;07.01.2017;6;6
Order_28;3;1;10CJ75739259300L;14.01.2017 00:00;14.01.2017;23.01.2017;1;1
Order_29;5;1;3LX36135773883K;13.01.2017 00:00;13.01.2017;13.01.2017;1;1
Order_29;7;1;3PV59838098006F;07.01.2017 00:00;07.01.2017;07.01.2017;1;1
Order_30;1;1;8WE83858329899J;06.01.2017 00:00;06.01.2017;06.01.2017;2;2
Order_30;3;1;2YJ13060377870Z;18.01.2017 00:00;18.01.2017;18.01.2017;8;8
Order_31;2;1;2OG86503939991X;16.01.2017 00:00;16.01.2017;16.01.2017;8;8
Order_32;3;1;3LH38902604243H;23.01.2017 00:00;23.01.2017;26.01.2017;5;5
Order_33;1;1;3SD84165389689K;19.01.2017 00:00;19.01.2017;19.01.2017;1;1
Order_34;2;1;1RU69363915794G;22.01.2017 00:00;22.01.2017;22.01.2017;1;1
Order_35;1;1;9MF38310372355F;21.01.2017 00:00;21.01.2017;21.01.2017;0.3;0.3
Order_36;1;1;9QA73561375619Q;21.01.2017 00:00;21.01.2017;21.01.2017;2;2
Order_37;1;1;7UI86399152671N;21.01.2017 00:00;21.01.2017;23.01.2017;1;1
Order_38;2;1;1QJ74661681415Y;21.01.2017 00:00;21.01.2017;21.01.2017;2;2
Order_39;6;1;8WE83858329899J;19.01.2017 00:00;19.01.2017;19.01.2017;2;2
Order_40;3;1;9QA73561375619Q;14.01.2017 00:00;14.01.2017;14.01.2017;2;2
Order_41;6;1;5EC16756557643G;21.01.2017 00:00;14.01.2017;14.01.2017;6;6
Order_42;1;1;9EN21705838310Q;17.01.2017 00:00;17.01.2017;17.01.2017;1;1
Order_43;1;1;2HW22784704592E;18.01.2017 00:00;18.01.2017;18.01.2017;2;2
Order_44;4;1;5MZ36579729040E;21.01.2017 00:00;21.01.2017;21.01.2017;2;2
Order_45;1;1;1ZE48092510400K;13.01.2017 00:00;13.01.2017;13.01.2017;2;2
Order_46;14;1;1LI42225007355C;25.01.2017 00:00;25.01.2017;03.02.2017;1;1
Order_46;16;1;1ND11428801930Q;28.01.2017 00:00;28.01.2017;06.02.2017;1;1
Order_46;19;1;7TW92788796837I;30.01.2017 00:00;30.01.2017;08.02.2017;1;1
Order_47;2;1;10DG77058073922H;28.01.2017 00:00;28.01.2017;28.01.2017;1;1
Order_47;3;1;2DS35615142379C;24.01.2017 00:00;24.01.2017;24.01.2017;6;6
Order_48;1;1;7ZV82796398332K;20.01.2017 00:00;20.01.2017;20.01.2017;4;4
Order_49;3;1;3PN47687881623Z;22.01.2017 00:00;22.01.2017;22.01.2017;1;1
Order_50;5;1;6YS86175420678A;20.01.2017 00:00;20.01.2017;30.01.2017;6;6
Order_51;2;1;10KV67557837991N;22.01.2017 00:00;22.01.2017;22.01.2017;5;5
Order_52;1;1;2GS55289964768T;29.01.2017 00:00;29.01.2017;29.01.2017;2;2
Order_53;3;1;9DG12017945528Y;31.01.2017 00:00;31.01.2017;09.02.2017;2;2
Order_53;5;1;7OI34426730729G;22.01.2017 00:00;22.01.2017;23.01.2017;5;5
Order_53;7;1;4WC86291013787C;26.01.2017 00:00;26.01.2017;29.01.2017;1;1
Order_54;2;1;2GS42340470239W;21.01.2017 00:00;21.01.2017;21.01.2017;1;1
Order_55;1;1;9QA73561375619Q;23.01.2017 00:00;23.01.2017;23.01.2017;1;1
Order_56;1;1;2YJ13060377870Z;31.01.2017 00:00;31.01.2017;31.01.2017;2;2
Order_57;2;1;8RX85342792371J;22.01.2017 00:00;22.01.2017;22.01.2017;1;1
Order_57;4;1;10KV67557837991N;30.01.2017 00:00;30.01.2017;30.01.2017;6;6
Order_58;1;1;2HW22784704592E;30.01.2017 00:00;30.01.2017;30.01.2017;1;1
Order_59;1;1;8WV81451019554K;28.01.2017 00:00;28.01.2017;28.01.2017;2;2
Order_60;1;1;6QH97738970120B;23.01.2017 00:00;23.01.2017;30.01.2017;2;2
Order_61;3;1;10SO55529479938E;30.01.2017 00:00;30.01.2017;30.01.2017;5;5
Order_62;10;1;8JS21843758225K;05.02.2017 00:00;05.02.2017;12.02.2017;1;1
Order_63;2;1;10KV67557837991N;02.02.2017 00:00;02.02.2017;11.02.2017;2;2
Order_63;6;1;2TA21064631610V;07.02.2017 00:00;07.02.2017;13.02.2017;1;1
Order_63;11;1;3WH74950359379X;26.01.2017 00:00;26.01.2017;26.01.2017;4;4
Order_64;1;1;5JM67362793951O;04.02.2017 00:00;04.02.2017;04.02.2017;1;1
Order_65;2;1;3PN47687881623Z;02.02.2017 00:00;02.02.2017;02.02.2017;1;1
Order_66;1;1;3YJ23490831579K;09.02.2017 00:00;09.02.2017;09.02.2017;2;2
Order_67;5;1;7UI86399152671N;29.01.2017 00:00;29.01.2017;29.01.2017;1;1
Order_68;1;1;5XP69515458447B;06.02.2017 00:00;06.02.2017;06.02.2017;1;1
Order_69;1;1;8WE83858329899J;03.02.2017 00:00;03.02.2017;03.02.2017;2;2
Order_70;8;1;1NA79155713572M;01.02.2017 00:00;01.02.2017;09.02.2017;2;2
Order_71;3;1;5JB99721755118N;01.02.2017 00:00;01.02.2017;08.02.2017;2;2
Order_72;1;1;7UI86399152671N;02.02.2017 00:00;02.02.2017;02.02.2017;2;2
Order_73;2;1;3XD56214823697Q;09.02.2017 00:00;09.02.2017;09.02.2017;2;2
Order_74;5;1;1ZJ54169792849I;02.02.2017 00:00;02.02.2017;04.02.2017;2;2
Order_75;2;1;1KI96991272952T;31.01.2017 00:00;31.01.2017;01.02.2017;1;1
Order_76;2;1;2HU52351758839N;31.01.2017 00:00;31.01.2017;01.02.2017;3;3
Order_77;2;1;10KV67557837991N;11.02.2017 00:00;11.02.2017;17.02.2017;1;1
Order_78;1;1;8WE83858329899J;05.02.2017 00:00;05.02.2017;05.02.2017;1;1
Order_79;1;1;3WS85918919112W;12.02.2017 00:00;12.02.2017;16.02.2017;2;2
Order_80;1;1;1CL74946491008S;05.02.2017 00:00;05.02.2017;12.02.2017;2;2
Order_81;3;1;10SO55529479938E;03.02.2017 00:00;03.02.2017;03.02.2017;3;3
Order_82;4;1;2DS35615142379C;10.02.2017 00:00;10.02.2017;10.02.2017;6;6
Order_83;2;1;1UP81651084094Y;08.02.2017 00:00;08.02.2017;15.02.2017;2;2
Order_84;7;1;9AA39223488064Y;10.02.2017 00:00;10.02.2017;10.02.2017;2;2
Order_85;10;1;2GS42340470239W;30.01.2017 00:00;30.01.2017;30.01.2017;1;1
Order_86;3;1;1DX23728240475N;04.02.2017 00:00;04.02.2017;05.02.2017;1;1
Order_87;1;1;2MF76141576485X;19.02.2017 00:00;19.02.2017;19.02.2017;2;2
Order_88;5;1;2IQ35346367174K;19.02.2017 00:00;19.02.2017;27.02.2017;1;1
Order_89;1;1;7WU60244402701C;18.02.2017 00:00;18.02.2017;19.02.2017;72;72
Order_90;3;1;7GN13026670588Z;15.02.2017 00:00;15.02.2017;15.02.2017;5;5
Order_91;2;1;8WE83858329899J;19.02.2017 00:00;19.02.2017;19.02.2017;1;1
Order_92;2;1;9TZ23479641614Z;10.02.2017 00:00;10.02.2017;10.02.2017;1;1
Order_92;5;1;4OG78064693833D;10.02.2017 00:00;10.02.2017;10.02.2017;1;1
Order_93;1;1;3PN47687881623Z;15.02.2017 00:00;15.02.2017;15.02.2017;2;2
Order_94;3;1;4UB72695153306L;14.02.2017 00:00;14.02.2017;17.02.2017;4;4
Order_94;13;1;8AS20911315742X;16.02.2017 00:00;16.02.2017;18.02.2017;1;1
Order_94;14;1;9AL56248871057U;09.02.2017 00:00;09.02.2017;11.02.2017;2;2
Order_94;20;1;10OX73987779947E;20.02.2017 00:00;20.02.2017;25.02.2017;2;2
Order_95;1;1;2XV79843106330G;22.02.2017 00:00;22.02.2017;22.02.2017;5;5
Order_96;2;1;1ZJ54169792849I;21.02.2017 00:00;21.02.2017;01.03.2017;2;2
Order_97;2;1;10TC52557647378J;09.02.2017 00:00;09.02.2017;22.02.2017;6;6
Order_98;3;1;10TC52557647378J;20.02.2017 00:00;20.02.2017;05.03.2017;4;4
Order_99;3;1;10OD57818576174M;15.02.2017 00:00;15.02.2017;17.02.2017;2;2
Order_100;2;1;7LK73983263016O;22.02.2017 00:00;22.02.2017;03.03.2017;1;1
Order_101;1;1;7KD85134404062H;12.02.2017 00:00;12.02.2017;12.02.2017;6;6
Order_102;5;1;7UI86399152671N;18.02.2017 00:00;18.02.2017;18.02.2017;1;1
Order_103;5;1;9RW19498940631I;17.02.2017 00:00;17.02.2017;17.02.2017;1;1
Order_104;1;1;1WX30120195736A;11.02.2017 00:00;11.02.2017;11.02.2017;2;2
Order_105;1;1;3GV82320369198C;23.02.2017 00:00;23.02.2017;23.02.2017;1;1
Order_105;2;1;2AX84712524036K;19.02.2017 00:00;19.02.2017;22.02.2017;1;1
Order_106;4;1;1KL19010952510G;22.02.2017 00:00;22.02.2017;22.02.2017;1;1
Order_107;2;1;4XQ96417369914M;17.02.2017 00:00;17.02.2017;17.02.2017;4;4
Order_108;1;1;10AV66120893967D;14.02.2017 00:00;14.02.2017;14.02.2017;1;1
Order_109;2;1;8YF15352670117O;26.02.2017 00:00;26.02.2017;28.02.2017;6;6
Order_110;3;1;9ID46310053154Y;04.03.2017 00:00;04.03.2017;04.03.2017;1;1
Order_111;3;1;10SO55529479938E;25.02.2017 00:00;25.02.2017;25.02.2017;7;7
Order_112;1;1;1ZJ54169792849I;16.02.2017 00:00;16.02.2017;16.02.2017;2;2
Order_113;1;1;6HC94645851935B;21.02.2017 00:00;21.02.2017;24.02.2017;1;1
Order_114;1;1;2QH79678989311U;15.02.2017 00:00;15.02.2017;24.02.2017;1;1
Order_115;2;1;9QI56525864689R;01.03.2017 00:00;01.03.2017;01.03.2017;7;7
Order_116;8;1;9WN11189994910D;20.02.2017 00:00;20.02.2017;25.02.2017;3;3
Order_116;11;1;2UZ79442411649Z;25.02.2017 00:00;25.02.2017;25.02.2017;1;1
Order_117;1;1;8JN15866067410F;03.03.2017 00:00;03.03.2017;03.03.2017;1;1
Order_117;3;1;9QA73561375619Q;19.02.2017 00:00;19.02.2017;19.02.2017;1;1
Order_118;1;1;10WK67036373158U;18.02.2017 00:00;18.02.2017;23.02.2017;0;0
Order_118;41;1;4QW97665868775D;19.02.2017 00:00;19.02.2017;08.04.2017;2;2
Order_118;55;1;4QW97665868775D;17.02.2017 00:00;17.02.2017;22.02.2017;1;1
Order_119;2;1;3JS74809920912W;28.02.2017 00:00;28.02.2017;28.02.2017;2;2
Order_119;4;1;9MO91675773088E;24.02.2017 00:00;24.02.2017;24.02.2017;2;2
Order_120;1;1;5XP69515458447B;18.02.2017 00:00;18.02.2017;18.02.2017;1;1
Order_121;4;1;10KV67557837991N;20.02.2017 00:00;20.02.2017;20.02.2017;8;8
Order_122;4;1;3KK70419915448C;28.02.2017 00:00;28.02.2017;05.03.2017;2;2
Order_123;2;1;10SO55529479938E;05.03.2017 00:00;05.03.2017;05.03.2017;6;6
Order_124;1;1;2AX84712524036K;28.02.2017 00:00;28.02.2017;28.02.2017;3;3
Order_125;1;1;2YJ13060377870Z;08.03.2017 00:00;08.03.2017;18.03.2017;1;1
Order_126;1;1;10WK67036373158U;09.04.2017 00:00;22.02.2017;27.02.2017;4;4
Order_126;2;1;4QW97665868775D;06.04.2017 00:00;06.04.2017;06.04.2017;0;0
Order_127;1;1;5NI33382712808S;08.03.2017 00:00;08.03.2017;08.03.2017;2;2
Order_128;1;1;5IL98932259092E;25.02.2017 00:00;25.02.2017;28.02.2017;1;1
Order_129;6;1;7LK73983263016O;02.03.2017 00:00;02.03.2017;10.03.2017;1;1
Order_130;1;1;3PV59838098006F;27.02.2017 00:00;27.02.2017;27.02.2017;1;1
Order_130;2;1;1UZ62471649914V;05.03.2017 00:00;05.03.2017;13.03.2017;5;5
Order_131;1;1;9SA74368468754Y;24.02.2017 00:00;24.02.2017;24.02.2017;1;1
Order_132;2;1;10BR91634745498A;04.03.2017 00:00;04.03.2017;04.03.2017;1;1
Order_133;3;1;10NX81171331267E;08.03.2017 00:00;08.03.2017;08.03.2017;7;7
Order_134;2;1;1KL19010952510G;02.03.2017 00:00;02.03.2017;02.03.2017;1;1
Order_135;3;1;4ZS86199242686T;06.03.2017 00:00;06.03.2017;13.03.2017;1;1
Order_136;1;1;9RW19498940631I;13.03.2017 00:00;13.03.2017;13.03.2017;1;1
Order_137;1;1;7UI86399152671N;12.03.2017 00:00;12.03.2017;12.03.2017;2;2
Order_138;11;1;6MJ22182674343Y;10.04.2017 00:00;07.03.2017;07.03.2017;1;1
Order_138;12;1;5EO20171480490D;04.04.2017 00:00;04.03.2017;04.03.2017;2;2
Order_138;15;1;5HZ10921184453M;12.04.2017 00:00;12.03.2017;12.03.2017;2;2
Order_138;22;1;2XV79843106330G;09.04.2017 00:00;09.04.2017;09.04.2017;21;21
Order_139;2;1;2YJ13060377870Z;03.03.2017 00:00;03.03.2017;12.03.2017;20;20
Order_140;2;1;2YJ13060377870Z;04.03.2017 00:00;04.03.2017;13.03.2017;9;9
Order_141;2;1;2YJ13060377870Z;06.03.2017 00:00;06.03.2017;15.03.2017;16;16
Order_142;1;1;4DY38977319465K;14.03.2017 00:00;14.03.2017;14.03.2017;2;2
Order_142;3;1;2WI90777323098C;10.03.2017 00:00;10.03.2017;10.03.2017;5;5
Order_143;6;1;2YJ13060377870Z;02.03.2017 00:00;02.03.2017;02.03.2017;1;1
Order_144;4;1;2YJ13060377870Z;05.03.2017 00:00;05.03.2017;09.03.2017;3;3
Order_145;7;1;8WE83858329899J;15.03.2017 00:00;15.03.2017;15.03.2017;1;1
Order_146;5;1;3JS74809920912W;30.03.2017 00:00;30.03.2017;31.03.2017;1;1
Order_147;2;1;4OE31417397873S;13.03.2017 00:00;13.03.2017;13.03.2017;2;2
Order_148;1;1;7VT60163076115C;07.03.2017 00:00;07.03.2017;07.03.2017;2;2
Order_149;2;1;10FH43083322621G;17.03.2017 00:00;17.03.2017;17.03.2017;19;19
Order_150;1;1;1ZJ54169792849I;03.03.2017 00:00;03.03.2017;03.03.2017;1;1
Order_151;3;1;8WE83858329899J;06.03.2017 00:00;06.03.2017;06.03.2017;1;1
Order_151;6;1;3KK70419915448C;14.03.2017 00:00;14.03.2017;16.03.2017;2;2
Order_151;8;1;2GS42340470239W;18.03.2017 00:00;18.03.2017;18.03.2017;1;1
Order_151;14;1;10SO55529479938E;18.03.2017 00:00;18.03.2017;18.03.2017;2;2
Order_152;2;1;10KV67557837991N;14.03.2017 00:00;14.03.2017;14.03.2017;9;9
Order_153;5;1;10KV67557837991N;08.03.2017 00:00;08.03.2017;08.03.2017;3;3
Order_154;1;1;7KD85134404062H;14.03.2017 00:00;14.03.2017;14.03.2017;2;2
Order_155;5;1;6VY21047714566J;20.03.2017 00:00;20.03.2017;30.03.2017;9;9
Order_155;25;1;2FP59325596665G;13.03.2017 00:00;13.03.2017;13.03.2017;20;20
Order_155;35;1;9GO51948370176J;09.03.2017 00:00;09.03.2017;09.03.2017;11;11
Order_155;43;1;9SK30592460683P;12.03.2017 00:00;12.03.2017;12.03.2017;2;2
Order_155;49;1;6IA88708372101D;18.03.2017 00:00;18.03.2017;18.03.2017;21;21
Order_155;67;1;3EE79689697877X;13.03.2017 00:00;13.03.2017;13.03.2017;5;5
Order_155;73;1;1UM68719027435Y;19.03.2017 00:00;19.03.2017;20.03.2017;2;2
Order_155;79;1;9VN68569164776N;14.03.2017 00:00;14.03.2017;14.03.2017;2;2
Order_155;81;1;7CC72416903889T;11.03.2017 00:00;11.03.2017;14.03.2017;14;14
Order_155;93;1;3WT93903404336A;09.03.2017 00:00;09.03.2017;10.03.2017;2;2
Order_155;151;1;1BM79827909398I;18.03.2017 00:00;18.03.2017;18.03.2017;3;3
Order_155;153;1;6KU96759927647H;11.03.2017 00:00;11.03.2017;11.03.2017;1;1
Order_155;157;1;8NF86288999040S;11.03.2017 00:00;11.03.2017;11.03.2017;2;2
Order_155;181;1;2IE60492379137W;20.03.2017 00:00;20.03.2017;20.03.2017;2;2
Order_155;203;1;2GA21874269574R;08.03.2017 00:00;08.03.2017;13.03.2017;1;1
Order_155;205;1;9PP25927671851I;09.03.2017 00:00;09.03.2017;10.03.2017;2;2
Order_155;211;1;5AO59145932672Y;14.03.2017 00:00;14.03.2017;19.03.2017;1;1
Order_155;215;1;10AC80299606208E;14.03.2017 00:00;14.03.2017;14.03.2017;1;1
Order_155;219;1;1AY20017425833U;19.03.2017 00:00;19.03.2017;19.03.2017;2;2
Order_155;221;1;4DM60881996799F;09.03.2017 00:00;09.03.2017;09.03.2017;1;1
Order_155;229;1;1RP17331562853F;17.03.2017 00:00;17.03.2017;17.03.2017;1;1
Order_155;241;1;4ZY53728131801S;11.03.2017 00:00;11.03.2017;11.03.2017;6;6
Order_155;245;1;8JH46095852967T;19.03.2017 00:00;19.03.2017;19.03.2017;2;2
Order_155;259;1;1MP56242357023I;14.03.2017 00:00;14.03.2017;14.03.2017;1;1
Order_155;275;1;10SJ83368805910Q;09.03.2017 00:00;09.03.2017;14.03.2017;2;2
Order_155;285;1;2FX76660603807W;16.03.2017 00:00;16.03.2017;16.03.2017;9;9
Order_155;299;1;4NW55116783360R;19.03.2017 00:00;19.03.2017;19.03.2017;1;1
Order_156;2;1;10KV67557837991N;10.03.2017 00:00;10.03.2017;10.03.2017;8;8
Order_157;2;1;6VT71566352402R;17.03.2017 00:00;17.03.2017;17.03.2017;2;2
Order_158;1;1;9YR65749851931O;15.03.2017 00:00;15.03.2017;15.03.2017;6;6
Order_159;1;1;2EW96796935095R;07.03.2017 00:00;07.03.2017;07.03.2017;1;1
Order_160;3;1;2DR62480285896V;10.03.2017 00:00;10.03.2017;11.03.2017;7;7
Order_161;3;1;5NL31703657999Q;08.03.2017 00:00;08.03.2017;14.03.2017;7;7
Order_161;11;1;1WN10784658063S;20.03.2017 00:00;20.03.2017;20.03.2017;8;8
Order_161;12;1;9DG12017945528Y;15.03.2017 00:00;15.03.2017;15.03.2017;2;2
Order_162;2;1;3EE79689697877X;17.03.2017 00:00;17.03.2017;17.03.2017;2;2
Order_162;3;1;10DV45202770566P;21.03.2017 00:00;21.03.2017;23.03.2017;2;2
Order_162;5;1;8IV85428115248W;22.03.2017 00:00;22.03.2017;22.03.2017;2;2
Order_162;8;1;4ZY53728131801S;18.03.2017 00:00;18.03.2017;18.03.2017;6;6
Order_163;1;1;9EN21705838310Q;21.03.2017 00:00;21.03.2017;21.03.2017;2;2
Order_164;1;1;10SO55529479938E;11.03.2017 00:00;11.03.2017;11.03.2017;2;2
Order_165;1;1;7FB27104500509B;22.03.2017 00:00;22.03.2017;22.03.2017;5;5
Order_166;3;1;2DS35615142379C;17.03.2017 00:00;17.03.2017;17.03.2017;7;7
Order_167;3;1;10HH87500576461I;16.03.2017 00:00;16.03.2017;16.03.2017;1;1
Order_168;3;1;2BG10066475388P;21.03.2017 00:00;21.03.2017;26.03.2017;1;1
Order_169;3;1;8YF15352670117O;17.03.2017 00:00;17.03.2017;22.03.2017;14;14
Order_170;3;1;3LX36135773883K;23.03.2017 00:00;23.03.2017;23.03.2017;1;1
Order_171;4;1;1KL19010952510G;23.03.2017 00:00;23.03.2017;23.03.2017;1;1
Order_172;1;1;6JD38404016813Z;20.03.2017 00:00;20.03.2017;20.03.2017;6;6
Order_173;3;1;1UZ62471649914V;11.03.2017 00:00;15.03.2017;23.03.2017;3;3
Order_174;5;1;10UQ90372584898W;31.03.2017 00:00;14.03.2017;14.03.2017;1;1
Order_174;5000;1;10KV67557837991N;09.04.2017 00:00;09.04.2017;10.04.2017;4;4
Order_175;2;1;6CN16596035437P;19.03.2017 00:00;19.03.2017;19.03.2017;1;1
Order_175;3;1;8WV81451019554K;24.03.2017 00:00;24.03.2017;24.03.2017;1;1
Order_176;1;1;4DC58256141146S;20.03.2017 00:00;20.03.2017;20.03.2017;1;1
Order_176;2;1;8WE83858329899J;16.03.2017 00:00;16.03.2017;16.03.2017;1;1
Order_177;1;1;6HC94645851935B;11.03.2017 00:00;11.03.2017;12.03.2017;1;1
Order_178;1;1;7UI86399152671N;15.03.2017 00:00;15.03.2017;15.03.2017;2;2
Order_179;1;1;2DS35615142379C;11.03.2017 00:00;11.03.2017;11.03.2017;2;2
Order_180;2;1;1RU69363915794G;15.03.2017 00:00;15.03.2017;15.03.2017;1;1
Order_181;1;1;7LK73983263016O;21.03.2017 00:00;21.03.2017;21.03.2017;2;2
Order_182;2;1;10RP50888643240K;14.03.2017 00:00;14.03.2017;14.03.2017;6;6
Order_183;3;1;3WH74950359379X;13.03.2017 00:00;13.03.2017;13.03.2017;2;2
Order_184;5;1;9VC38051428214H;26.03.2017 00:00;26.03.2017;26.03.2017;1;1
Order_185;1;1;3HM26155333184B;19.03.2017 00:00;19.03.2017;19.03.2017;14;14
Order_186;8;1;1KL19010952510G;29.03.2017 00:00;29.03.2017;29.03.2017;2;2
Order_186;10;1;7UI86399152671N;27.03.2017 00:00;27.03.2017;27.03.2017;2;2
Order_187;3;1;3PN47687881623Z;28.03.2017 00:00;28.03.2017;28.03.2017;3;3
Order_188;1;1;3HM26155333184B;20.03.2017 00:00;20.03.2017;20.03.2017;4;4
Order_188;4;1;10TC52557647378J;28.03.2017 00:00;28.03.2017;28.03.2017;2;2
Order_188;5;1;10YB36468431387S;26.03.2017 00:00;26.03.2017;26.03.2017;2;2
Order_188;8;1;1QJ74661681415Y;27.03.2017 00:00;27.03.2017;27.03.2017;2;2
Order_188;9;1;4EX30371760759I;25.03.2017 00:00;25.03.2017;25.03.2017;4;4
Order_188;11;1;7OQ53183371788O;27.03.2017 00:00;27.03.2017;27.03.2017;2;2
Order_189;1;1;4KP88989031162X;30.03.2017 00:00;30.03.2017;30.03.2017;2;2
Order_190;1;1;8YF15352670117O;23.03.2017 00:00;23.03.2017;31.03.2017;1;1
Order_191;2;1;10YB36468431387S;18.03.2017 00:00;18.03.2017;18.03.2017;2;2
Order_192;1;1;1UZ62471649914V;22.03.2017 00:00;22.03.2017;24.03.2017;5;5
Order_193;2;1;3BO27109322796E;21.03.2017 00:00;21.03.2017;21.03.2017;1;1
Order_194;8;1;10YB36468431387S;19.03.2017 00:00;19.03.2017;15.04.2017;1;1
Order_195;1;1;7UI86399152671N;29.03.2017 00:00;29.03.2017;05.04.2017;1;1
Order_196;2;1;9ZG72938324674F;03.04.2017 00:00;03.04.2017;03.04.2017;1;1
Order_197;2;1;6FE48568886969F;28.03.2017 00:00;28.03.2017;03.04.2017;17;17
Order_198;3;1;4OG78064693833D;31.03.2017 00:00;31.03.2017;31.03.2017;1;1
Order_199;4;1;10SO55529479938E;03.04.2017 00:00;03.04.2017;03.04.2017;1;1
Order_200;3;1;7UI86399152671N;06.04.2017 00:00;06.04.2017;06.04.2017;1;1
Order_201;2;1;8WV81451019554K;24.03.2017 00:00;24.03.2017;24.03.2017;3;3
Order_202;2;1;6DC55992318892J;31.03.2017 00:00;31.03.2017;08.04.2017;2;2
Order_203;1;1;1FZ63005015682S;25.03.2017 00:00;25.03.2017;04.04.2017;1;1
Order_204;2;1;10KV67557837991N;07.04.2017 00:00;07.04.2017;07.04.2017;8;8
Order_204;5;1;10UQ90372584898W;30.03.2017 00:00;30.03.2017;30.03.2017;2;2
Order_205;4;1;8PW78852457550Q;29.03.2017 00:00;29.03.2017;29.03.2017;12;12
Order_206;3;1;1DG12469563879Y;03.04.2017 00:00;03.04.2017;03.04.2017;8;8
Order_207;1;1;8CK74255383240I;29.03.2017 00:00;29.03.2017;29.03.2017;7;7
Order_208;1;1;3ND62561213680Z;10.04.2017 00:00;10.04.2017;10.04.2017;0;0
Order_209;2;1;2PX44122204467K;30.03.2017 00:00;30.03.2017;20.04.2017;24;24
Order_210;2;1;9PA81034644119Z;08.04.2017 00:00;08.04.2017;13.04.2017;1;1
Order_210;4;1;10KV67557837991N;27.03.2017 00:00;27.03.2017;05.04.2017;4;4
Order_211;1;1;8TT33399211377L;28.03.2017 00:00;28.03.2017;28.03.2017;2;2
Order_212;2;1;9RW19498940631I;03.04.2017 00:00;03.04.2017;03.04.2017;2;2
Order_213;1;1;3NQ92029249965G;28.03.2017 00:00;28.03.2017;28.03.2017;2.1;2.1
Order_214;2;1;6CF48387294346E;31.03.2017 00:00;31.03.2017;05.04.2017;2;2
