Part;Outlet;Inventory Qty;Costs;MOQ
10MK66232719455Q;1;0;6.24;10
10MK96512656991X;1;0;36.88;5
10ML53237208029G;1;0;3.96;10
10ML53473019455Y;1;0;9.31;10
10MN22181384090Y;1;0;2.09;10
10MR70554288457V;1;0;11.14;5
10MW74374547227C;1;0;85.79;5
10MX16607915518K;1;89;0.13;100
10MY88217293532S;1;0;175.91;5
10MZ23999099681R;1;0;3.09;10
10NA41619505890K;1;2;22.07;5
10NB67592250348D;1;3;2.58;10
10NC47647480592A;1;0;15.85;5
10NE65472638316W;1;7;0.81;100
10NH15409963966Y;1;0;0.14;100
10NL31855676287C;1;0;50.09;5
10NM13431821607X;1;0;81.94;5
10NM72748277452K;1;6;42.34;5
10NM88619966523F;1;4;11.45;5
10NO52714022800Y;1;0;0.11;100
10NR78871097578O;1;2;14.66;5
10NV44871530613Q;1;0;0.22;100
10NX81171331267E;1;1;1.05;10
10OA11073198319Y;1;0;0.07;100
10OA28833898142W;1;0;0.24;100
10OA61727074810W;1;0;1.87;10
10OC66922493857B;1;9;1.68;10
10OC82506385970Z;1;0;0.94;10
10OD57818576174M;1;6;0.79;100
10OH27336485685U;1;12;9.93;10
10OS27822236731Z;1;0;5.49;10
10OU22777016168D;1;0;9.92;10
10OU56468327943A;1;0;4.9;10
10OX58663201085V;1;4;9.04;5
10OX73987779947E;1;7;9.45;10
10OY75345772680W;1;3;27.83;5
10OZ30156472074X;1;5;97.79;5
10PA62492008035H;1;0;10.61;5
10PB27660167807H;1;0;0.2;100
10PC59329812565N;1;3;63.87;5
10PG20994916144A;1;6;1.44;10
10PG80972697326B;1;7;2.55;10
10PH84705743635F;1;0;12.92;5
10PI50156538924U;1;0;0.69;100
10PK16118799696C;1;0;11.63;5
10PK61588230309E;1;3;1.69;10
10PM41602458762L;1;0;0.14;100
10PN47506847308A;1;0;22.47;5
10PO12268059548X;1;0;62.69;5
10PO33561310004K;1;0;82.77;5
10PO64017094205J;1;0;16.12;5
10PT19932134453Q;1;0;22.3;5
10PV58719675351A;1;5;4.29;10
10PW32344678470L;1;0;0.15;100
10PW99364623525P;1;5;3.81;10
10QF32078151035Q;1;0;4.97;10
10QF80389628711V;1;5;34.84;5
10QG63107530938E;1;3;41.59;5
10QG65879020400Y;1;0;27.08;5
10QM12605708405P;1;0;41.73;5
10QN72190804772X;1;6;85.59;5
10QO68181828084P;1;2;20.87;5
10QR90366518415J;1;0;538.64;5
10QS87779494289Y;1;0;43.2;5
10QX37987446586J;1;0;55.78;5
10QZ41751855527T;1;0;0.08;100
10QZ77307619623H;1;0;0.12;100
10RD99932338196Z;1;0;775.74;5
10RE72913580989X;1;0;10.77;5
10RJ90824127570I;1;18;0.06;100
10RK65567019491I;1;0;11.61;5
10RK79594605910F;1;0;16.28;5
10RL16644136385X;1;0;2.13;10
10RO11515568407F;1;0;21.17;5
10RP50888643240K;1;9;46.04;5
10RR74995592997P;1;4;11.24;5
10RT51647935695P;1;0;117.42;5
10RW34352929275N;1;0;2.53;10
10SD29283198668Y;1;0;6.16;10
10SD38985169064V;1;0;97.29;5
10SD57041559448T;1;1;3.21;10
10SG29518148185L;1;0;187.43;5
10SJ83368805910Q;1;0;26.58;5
10SK62330571386L;1;0;30.01;5
10SK67635922101I;1;0;27.4;5
10SL53214179041M;1;7;33.48;5
10SO55529479938E;1;32;1.06;10
10SQ64244199915B;1;2;49.94;5
10ST52771910233D;1;0;11.93;5
10SV26491295868Z;1;0;1.26;10
10SV57763403438E;1;0;4.8;10
10SV81265250161C;1;0;137.72;5
10SY43074360613U;1;0;13.07;5
10SY90189633148K;1;4;32.61;5
10TB21766526518O;1;9;0.99;10
10TC52557647378J;1;12;18.67;5
10TE24642595742P;1;0;56.07;5
10TE56709595194Y;1;0;23.45;5
10TG19927844649D;1;0;111.52;5
10TH75356617946U;1;2;6.17;10
10TI44405233650T;1;7;3.02;10
10TJ57904043149N;1;0;59.2;5
10TL71903384351P;1;0;24.42;5
10TM94698177754V;1;0;8.5;10
10TN17620108301H;1;0;159.73;5
10TP45068009325W;1;0;270.27;5
10TQ89082108655Q;1;0;36.15;5
10TR37602489796O;1;0;0.67;100
10TS78017749664I;1;0;40.15;5
10TV21188193595L;1;2;1.74;10
10TV95825359061I;1;0;8.72;5
10TW43139181472X;1;10;3.99;10
10TX82022826768M;1;2;24.07;5
10TY73717019173I;1;0;24.75;5
10TY80636662411G;1;15;1.01;10
10UB64929721437G;1;0;3.95;10
10UB86192003279N;1;0;23.75;5
10UC99196139619M;1;0;10.33;5
10UH90201429912W;1;1;26.69;5
10UL55050498854F;1;0;4.45;10
10UN89355827811K;1;0;20.13;5
10UO45064045032O;1;0;115.67;5
10UO68143362297A;1;0;3.57;10
10UQ90372584898W;1;9;0.75;100
10US60361138182U;1;0;40.03;5
10UU83233832953K;1;0;23.07;5
10UV91265503659O;1;0;118.56;5
10UV94067646641Y;1;0;24.34;5
10UZ27817692540M;1;34;1.18;10
10VB51211941596U;1;3;184.87;5
10VC64304364880B;1;0;1.67;10
10VD19601828185J;1;1;28.54;5
10VD28317969001S;1;0;92.09;5
10VF79822867423P;1;0;1.76;10
10VH22729625030A;1;0;201.8;5
10VI78533646003S;1;0;21.63;5
10VJ26626506242O;1;0;2.26;10
10VM22156522188K;1;0;0.45;100
10VM24683933161F;1;0;10.75;5
10VP63835296652A;1;7;6.17;10
10VS41686785267S;1;0;0.83;10
10VS54454997223W;1;0;8.7;10
10VT22662961989J;1;4;208.5;5
10VT59937229755Z;1;0;46.19;5
10VU73245169842O;1;0;3.65;10
10VV59240642961G;1;0;212.34;5
10VX31462808193X;1;0;178.95;5
10VY78738363642L;1;0;24.71;5
10VZ28049578681A;1;1;17.56;5
10WA36607783292C;1;0;2351.68;5
10WC30001160744F;1;0;22.71;5
10WG13304865188X;1;2;114.91;5
10WG62109645874S;1;0;0.79;100
10WI67041043466C;1;0;123.23;5
10WI69895657735V;1;0;3.23;10
10WK67036373158U;1;0;449.73;5
10WO81438277218G;1;0;160.92;5
10WP90197008868K;1;0;6.25;10
10WQ37096980389H;1;0;5.57;10
10WQ75445564921W;1;2;100.54;5
10WR40033216293O;1;0;26.32;5
10WR71717579685Z;1;0;6.8;10
10WS94524997753N;1;0;6.93;10
10WV22389756553D;1;1;23.64;5
10WY87420500516F;1;0;12.99;5
10WZ83128818396T;1;3;1870.51;5
10XA42154049598L;1;4;43.53;5
10XD20991828425B;1;0;0.3;100
10XD82255200447C;1;0;1.36;10
10XF27131726628N;1;41;0.19;100
10XF68446136270E;1;0;219.03;5
10XI42197405740D;1;0;36.59;5
10XM83106354783N;1;0;35.26;5
10XO36661657344Y;1;0;52.34;5
10XP57233126038S;1;0;0.66;100
10XR64444601793W;1;6;34.81;5
10XV18995829395B;1;0;7.65;10
10YB36468431387S;1;11;24.85;5
10YB61879871020B;1;18;5.99;10
10YB88794724075Q;1;0;5.49;10
10YC49144994558D;1;2;32.76;5
10YD72608336689H;1;0;6.57;10
10YG30355631349J;1;0;2.93;10
10YH37862017219J;1;0;12.59;5
10YH57488169711O;1;2;5.42;10
10YJ89725952055Y;1;0;8.81;5
10YM53355506223V;1;0;248.32;5
10YM91622806389U;1;6;5.75;10
10YQ92017028871A;1;0;13.74;5
10YT17508815132C;1;0;7.27;10
10YT82889481521Q;1;0;505.43;5
10YU37273072255X;1;0;2.35;10
10YV26546964089E;1;0;151.44;5
10YV93930203716R;1;0;1.79;10
10YW74182240684X;1;20;0.07;100
10YY36815959665O;1;1;10.92;5
10ZA17117866375T;1;0;0.05;100
10ZC43065005021U;1;11;3.64;10
10ZC70707889132X;1;0;15.46;5
10ZG22912691709X;1;0;8.53;10
10ZK45551795302W;1;0;41.59;5
10ZO54932214270P;1;4;81.6;5
10ZO94134488839H;1;4;150.58;5
10ZQ82028048424G;1;0;5.6;10
10ZR59092498926S;1;0;12.96;5
10ZV17119521483A;1;0;89.83;5
10ZW43360473635Q;1;0;112.37;5
10ZX66473793827Z;1;0;377.76;5
10ZZ30908038682D;1;0;0.66;100
1AB28686735340P;1;0;42.05;5
1AF48336397393I;1;0;63.74;5
1AM73381948713X;1;10;0.97;100
1AO51912297813G;1;0;1.63;10
1AO97062654447K;1;0;23.12;5
1AR49442690403N;1;0;34.17;5
1AS55365459909W;1;0;83.9;5
1AT31554081751J;1;0;32.88;5
1AU76058220419P;1;9;3.4;10
1AY20017425833U;1;4;7.25;10
1AZ56284918414C;1;0;28.88;5
1BB62650532913H;1;0;39.22;5
1BF28284551308G;1;10;0.95;10
1BF86973562032F;1;0;8.5;5
1BI90801975543O;1;0;0.21;100
1BL48599197774B;1;15;0.18;100
1BM79138840728A;1;1;16.4;5
1BM79827909398I;1;0;1.42;10
1BN22520107632Z;1;0;26.13;5
1BO59373334036T;1;0;9.17;10
1BP12835128761U;1;0;1.7;10
1BP99933294630G;1;0;0.82;100
1BW66341037467O;1;0;12.08;5
1BX25667281868N;1;6;73.42;5
1BX83609760495E;1;0;19.87;5
1CF42523359419N;1;0;214.09;5
1CH48783617953Z;1;0;43;5
1CI10066018165D;1;3;9.84;5
1CK58745838068Q;1;11;4.8;10
1CL74946491008S;1;15;9;10
1CO81831736903P;1;0;8.1;10
1CP94192769864Z;1;0;15.08;5
1CS25886613177Z;1;3;8.67;10
1CS53070734333C;1;0;887.28;5
1CS66781579168V;1;0;222.14;5
1CW76427228295Y;1;0;18.29;5
1CW89653743862Y;1;0;0.65;100
1CY61637225902B;1;1;1.15;10
1DC49210121121D;1;6;0.98;100
1DE53073789922H;1;2;17.06;5
1DF91986478217Y;1;0;0.88;100
1DG12469563879Y;1;13;8.72;10
1DG20462042980V;1;0;8.58;10
1DG43142081066S;1;0;75.31;5
1DG96733490838O;1;0;3450.76;5
1DH43875610375B;1;0;15.31;5
1DJ49672163595R;1;3;2.4;10
1DJ75265962148H;1;0;0.18;100
1DJ99609868635P;1;7;2.36;10
1DK21127553856C;1;0;9.01;5
1DK89978918072Z;1;1;7.23;10
1DM98602582566S;1;0;1.32;10
1DQ97029909395I;1;3;3.76;10
1DS92137431940Q;1;0;15.85;5
1DT17589874146V;1;0;0.5;100
1DU82016744349T;1;0;0.65;100
1DW27798059277O;1;108;0.27;100
1DX23728240475N;1;0;15.3;5
1DX75613163835C;1;2;2.14;10
1DY89497728167F;1;0;5.58;10
1DZ63240681685D;1;0;651.3;5
1DZ90436647160I;1;5;888.17;5
1EA60958330207P;1;0;91.1;5
1ED40248828633A;1;2;6.83;10
1EE32687139121P;1;6;3.11;10
1EE38448925380V;1;0;44.84;5
1EE77922181920Z;1;0;1.97;10
1EF26744281105R;1;0;4.43;10
1EG67688139682E;1;0;83.01;5
1EI70948596770M;1;0;391.81;5
1EK39763558786L;1;1;2.52;10
1EK62947428108E;1;6;7;10
1EL96240715042Y;1;0;1.94;10
1EM62881652095E;1;0;43.99;5
1EO53208305058Q;1;0;28.13;5
1EO65771714770T;1;4;5.94;10
1EQ69698687774S;1;0;221.54;5
1EU99720230472Q;1;0;7.33;10
1EV46613883022J;1;0;2.72;10
1EX44303460189E;1;0;40.71;5
1EX59897637558J;1;0;4.93;10
1EY62731208297F;1;8;4.67;10
1EY84787225289L;1;2;1.09;10
1EY96711332989E;1;6;2.09;10
1EZ34038062234M;1;0;198.08;5
1FB10387721635K;1;3;1.37;10
1FC32488712902B;1;0;19.03;5
1FC60343542957E;1;0;0.93;100
1FC94241179506H;1;0;2.75;10
1FI96191977903C;1;4;3.16;10
1FJ13887174614S;1;0;10.03;5
1FK82811696218V;1;0;11.66;5
1FK96110567160J;1;0;28.51;5
1FL44652748324V;1;2;60.53;5
1FL73121272138J;1;0;209.2;5
1FM92523453410W;1;15;0.56;100
1FS38412646015L;1;12;3.05;10
1FV85528633564Y;1;6;2.19;10
1FZ63005015682S;1;2;99.64;5
1GA12946031066X;1;3;660.39;5
1GA36499955221T;1;0;17.11;5
1GC86811491179G;1;0;61.76;5
1GC95030029144V;1;0;3.05;10
1GD51326578685M;1;0;7.23;10
1GE17344698390N;1;11;9.34;10
1GE23341027219Z;1;0;23.31;5
1GF36571971146A;1;0;10.18;5
1GG60094220550N;1;0;1.82;10
1GN92957904696W;1;0;26.99;5
1GS42565579059S;1;0;10.6;5
1GT51973111863S;1;6;3.96;10
1GU11285650297B;1;0;1.13;10
1GV18919295192C;1;0;52.4;5
1GX80685281687S;1;9;1.16;10
1HD18452634876G;1;0;1.45;10
1HF66937523511V;1;0;6.72;10
1HF94051432058B;1;0;364.24;5
1HI21541496799K;1;0;20.12;5
1HK66471228864J;1;0;38.16;5
1HM42461337480J;1;0;1.98;10
1HR77474180149T;1;6;0.25;100
1HR89831206206D;1;0;0.73;100
1HX85359866033O;1;0;1.27;10
1HY79055437399W;1;0;2.66;10
1HZ97371829257P;1;0;35.31;5
1IB42136331511P;1;0;23.65;5
1ID64875605928P;1;0;7.2;10
1IK12685323192Q;1;0;16.16;5
1IK78704255138Y;1;0;68.8;5
1IR15651258344D;1;2;6.1;10
1IR18372436845G;1;0;6.29;10
1IS12631102156S;1;0;57.7;5
1IT15941884721L;1;0;8.86;5
1IT85511238592U;1;3;9.25;10
1IV22087616346C;1;3;3.47;10
1IV51087488610N;1;0;16.19;5
1IV63198806548Z;1;2;94.48;5
1IX36160580691H;1;0;33.54;5
1JC85151927059C;1;5;76.03;5
1JG72793125350M;1;1;1.8;10
1JI13124149446T;1;0;46.34;5
1JL96152958970W;1;3;46.2;5
1JN38205197645I;1;3;14.85;5
1JN80549940987W;1;2;22.53;5
1JP41893353971L;1;3;58.49;5
1JS94863996360G;1;0;6.39;10
1JT75336845400N;1;0;14.48;5
1JU14156419134Q;1;0;8.52;10
1JU67367335173S;1;0;8.19;10
1JV23406832367N;1;0;60.71;5
1JX31858369811M;1;0;13.8;5
1JX53937547749S;1;0;10.05;10
1KD92766951898M;1;0;1.05;10
1KH39405305524Q;1;0;269.39;5
1KI52714920524V;1;0;7.49;10
1KI96991272952T;1;14;7.85;10
1KL19010952510G;1;32;25.8;5
1KL30292975435X;1;0;11.44;5
1KM40225642648J;1;0;7.76;10
1KO40888160001G;1;12;5.67;10
1KR94724731689L;1;0;0.27;100
1KS52869503330S;1;0;685.84;5
1KV99272348967N;1;0;31.85;5
1LA53410557212W;1;4;97.57;5
1LD74254949638W;1;2;6.15;10
1LE26015025462C;1;2;29.48;5
1LG67651323538H;1;0;20.78;5
1LH68540153610A;1;1;53.9;5
1LI42225007355C;1;0;1.92;10
1LI60261626587A;1;0;35.08;5
1LJ57038197179E;1;0;35.65;5
1LK84688644615P;1;3;7.99;10
1LN27604256725U;1;0;0.34;100
1LN57464610921F;1;0;1093.69;5
1LO25754825611R;1;6;2.31;10
1LO66294265277A;1;0;16.77;5
1LP84281555030A;1;24;0.76;100
1LS17099228642S;1;1;8.5;5
1LS20326723627E;1;0;2.98;10
1LS46315160616F;1;0;2.39;10
1LS51070528634O;1;0;8.01;10
1LS78852467242K;1;33;0.23;100
1LT53862644713Y;1;3;3.63;10
1LT87586892963P;1;0;41.57;5
1LV32505918317D;1;0;157.86;5
1LW92816000449Q;1;0;383.47;5
1LZ71996111835C;1;0;42.02;5
1MB33762670568F;1;7;1.68;10
1MI72273631663D;1;12;0.67;100
1ML89295257739O;1;0;7.31;10
1MN72116486959O;1;0;12.75;5
1MO68549632684N;1;0;0.01;100
1MP56242357023I;1;0;20.09;5
1MR77923875250U;1;2;5.02;10
1MU91685156405Y;1;9;4.66;10
1MV74691834597C;1;0;14.63;5
1MW73051000580S;1;0;24.18;5
1MY46619296394B;1;0;107.91;5
1NA79155713572M;1;2;74;5
1NA91470861102G;1;0;19.71;5
1NC74408570575Z;1;0;10.07;5
1ND11428801930Q;1;0;36.88;5
1NG64639408645M;1;0;5.91;10
1NH50804429565N;1;0;128.74;5
1NI35167473073N;1;1;1.07;10
1NI38100440199L;1;0;1.02;10
1NI71928103155X;1;0;0.4;100
1NJ33418974570X;1;0;10.31;5
1NL88709939455R;1;2;0.63;100
1NP82751606145X;1;0;97.22;5
1NQ90708996524R;1;0;63.84;5
1NR57843819290K;1;0;57.48;5
1NT25925066063V;1;0;4.47;10
1NU20923381438M;1;0;9.28;10
1NV23858571917Q;1;0;3.28;10
1NV24915050927D;1;0;71.76;5
1NY59251632483R;1;0;1.18;10
1OB55584392727B;1;0;33.86;5
1OE35165723690R;1;0;25.19;5
1OI74008261583L;1;3;239.2;5
1OL48805972888M;1;0;24.12;5
1ON98504525203E;1;0;1.91;10
1OQ73050333416V;1;0;30.41;5
1OR24220471585Y;1;0;2.01;10
1OS30531905438D;1;11;3.78;10
1OT15169807043H;1;3;90.83;5
1OU28790501682T;1;0;107.71;5
1OV42637000791P;1;0;107.05;5
1PB97341258453M;1;0;87.43;5
1PE46932658199A;1;10;1;10
1PF19178015651G;1;4;43.05;5
1PG52613597520N;1;3;53.3;5
1PH27696390365U;1;0;47.34;5
1PH31651760580J;1;3;66.15;5
1PH50433169038B;1;0;3.37;10
1PI64087771329Q;1;0;76.24;5
1PI78991625168A;1;0;11.8;5
1PL34950442836N;1;0;9.46;5
1PM10580964790J;1;2;1.69;10
1PO37580954423V;1;0;24.71;5
1PR21621738945O;1;2;28.31;5
1PT36262953579J;1;0;0.43;100
1PY74212562624I;1;0;189.25;5
1PZ33755893827T;1;0;177.56;5
1PZ98905765080Z;1;0;12.87;5
1QC78533087597D;1;0;0.52;100
1QD23477265781E;1;7;1.29;10
1QE13406000916U;1;0;10.12;5
1QE30365213694K;1;0;50.87;5
1QE98113087887A;1;0;11.81;5
1QI35051462150W;1;0;25.04;5
1QJ74661681415Y;1;3;6.04;10
1QK40706183327M;1;0;0.81;100
1QK63828313418J;1;3;2.89;10
1QM33294014505B;1;0;1.6;10
1QM64243915178T;1;0;7.94;10
1QQ17385595358D;1;5;31.36;5
1QQ87687078729C;1;0;31.22;5
1QS38134942869H;1;0;0.11;100
1QV22738395929Q;1;13;8.07;10
1QX23211496295Y;1;16;1.81;10
1QX52560740545S;1;0;5.05;10
1QX64745766698B;1;9;2.28;10
1QX79257160105W;1;0;11.39;5
1RA94882815865C;1;0;16.46;5
1RF14472946601J;1;3;0.56;100
1RF35852251884F;1;0;10.77;5
1RJ62441664017N;1;0;10.06;5
1RL82484233666K;1;0;2.71;10
1RM79564618424Y;1;0;4.78;10
1RN19397279877R;1;0;148.44;5
1RO26829961089V;1;0;13.05;5
1RO50567482486H;1;0;1.55;10
1RP17331562853F;1;0;30.32;5
1RP36835917529S;1;0;11.56;5
1RQ35754921225V;1;44;0.32;100
1RR78352699298W;1;0;6.98;10
1RT95510120684I;1;1;11.75;5
1RU69363915794G;1;10;9.63;5
1RW19589550311P;1;5;25.91;5
1RX11362075823L;1;0;42.23;5
1RX97644869676E;1;1;8.23;10
1RZ24895302286J;1;5;11.59;5
1RZ49795101609Y;1;4;31.05;5
1SA45362742351N;1;9;6.97;10
1SE89430481151T;1;3;2.99;10
1SJ12721858811B;1;0;141.37;5
1SJ43294476936V;1;4;9.91;5
1SJ45703072239M;1;1;33.61;5
1SK80664289244F;1;1;3.47;10
1SN10881004955O;1;0;5.84;10
1SN78264344412Z;1;0;126.37;5
1SO15928211031S;1;3;47.9;5
1SO67858856043D;1;0;5.2;10
1SR12806427770H;1;0;329.37;5
1SR39042498256D;1;7;2.68;10
1SW49581445603M;1;0;8.77;10
1SY43742140078Z;1;4;38.86;5
1TB12674976815P;1;2;1.14;10
1TD31007835037F;1;0;30.93;5
1TE22420242955B;1;5;8.72;10
1TF10496088754D;1;5;11.71;5
1TJ59702511087U;1;0;20.64;5
1TK35499310558F;1;0;1.87;10
1TK91570097972O;1;0;3.21;10
1TU79424334410P;1;0;466.38;5
1TX82650064791O;1;0;255.86;5
1TY67989103117J;1;0;5.14;10
1TZ96805020337G;1;3;20.2;5
1UD60654346560H;1;0;3.16;10
1UF61058537652N;1;0;4.81;10
1UI37229136403H;1;5;4.74;10
1UM16895443677V;1;0;3.48;10
1UM68719027435Y;1;0;33.46;5
1UN45677188555F;1;0;49.23;5
1UO16889985553Z;1;0;3.19;10
1UP81651084094Y;1;4;5.24;10
1UR70141023666L;1;2;6.66;10
1UY99988115496W;1;4;11.82;5
1UZ62471649914V;1;9;0;100
1VB54114202246P;1;0;3.45;10
1VC35022819251I;1;0;55.05;5
1VC60826050101N;1;6;12.24;5
1VF23842695007R;1;0;3.82;10
1VF92629209616M;1;0;4.11;10
1VI10776866795W;1;0;116.52;5
1VJ85588072071K;1;2;0.92;10
1VL76462142375H;1;0;4.26;10
1VL89030280166B;1;8;0;100
1VM13314630703V;1;0;568.26;5
1VN44232150123H;1;0;80.91;5
1VQ85624052442E;1;0;1.67;10
1VR90450359561B;1;0;2.06;10
1VS81180360299M;1;0;24.33;5
1VU55049496109B;1;0;45.92;5
1VW17007070074C;1;0;24.48;5
